title,clinicalBasic,articleType,authorName,linkToFullText,articleYear,analyst,NumberWordsInTitle,NumberWordsInArticle,soFarAsIsKnownIKnow,isItTooMuchToAssumeThat,appear,appearToMe,appears,appearsToMe,believing,ICannotStateWithCertainty,WeCannotExclude,ICannotHelpThinking,doNotAppear,doesNotAppear,doesNotSeem,doNotSeem,Expected,IamWeareInclinedToThinkOneIsTemptedToThink,IAmNotAware,IAmNotQuiteSure,IBelieve,ItIsGenerallyUsuallyBelieved,IConsider,IWeDoNotEvenKnowWhether,IDoNotSuppose,IDoNotThink ,ToDoubt,IFeelConfident,IfIRememberRightly,IQuiteImagine,IWish ,I/WeHope,WeNowWonder,IHoldThat,IThink,ITrust,oneHopes,doesNotSuggest,suggests,suggesting,supposeItIsSupposed,supposing,thereIsReasonToDoubt,IVentureToThink,weBelieve ,weAreJustifiedInAssumingThat,weAreJustifiedInBelievingThat,weAreJustifiedInReckoningThat,weAreSeldomSuspicious,weHaveThereforeReasonToHope,weThink,weDoNotBelieveThat,weHaveEveryReasonToBelieve,factsAreSufficientToInduceUsToBelieve,ledMeToBelieve,looks,thereIsReasonToBelieve,seem,seems,AreThoughtToBe,ItIsHoped,TOTLexicalPACLIsInArticleVerbsButNotModalVerbs,accordingToMyView,accordingToHypothesis,almostCertainCertainly,apparently,apparent,asInOpinion,believed,thereIsReasonForTheBelief,Conceivably,doubtIAmInDoubtThereIsSomeDoubt,doubtfulSuspected,veryDoubtful,forMyOwnPart,fromOwnExperienceSoFarAsMyExperienceGoes,greatProbability,impression,Improbably,inAppearance,inExperience,inMyOwnOurOpinionJudgementBelief/view,IAmFurtherOfOpinionThat,InTheHopeThat,moreProbably,ItIsMyView,itIsNotImprobableThat,mostImprobable,itIsReasonableToSuppose/Assume,itIsPerhapsReasonableToSuppose,itIsDifficult Too ToSee/thinkHow/of,ToMyKnowledge,likely,lessLikely,likelihood,muchMoreLikely,notMuchEvidence,moreLikely,moreProbable,mostLikely,MyPointIsThat,OpinionIs,noDirectEvidence,notQuiteClearToMe,nothingActuallyCertainIs,QuiteObvious,notLikely,notVeryLikely,itIsImpossibleToBeSure,myOwnOpinion,inOurExperience,perhaps,personally,possibility,possible,quitePossible,possibly,presumably,prettyCertainly,Probability,soFarAsIsKnown,probable,extremelyProbable,moreThanProbable,highlyProbable,veryProbable,probably,quiteNoCertain,seemingly,speakingFormyself,supposition,supposed,suspicionConjecture,thereIsLittleEvidence,thereIsNoEvidenceWeHaveNoEvidence,toMindtoOurMinds,unlikely ,notUnlikely,veryImprobable,veryUnlikely,uncertainty,unclear ,TOTLexicalPACLIsinArticleNonVerbs,can,may,mayNot,must,mustNot,TOTLexicalPACLIsModalVerbs,could,couldNot,couldNo,might,mightNot,should,shouldNot,would,wouldNo,wouldNot,ought,oughtNot,TOTMorpho-syntacticPACLIsInArticleConditionalMood ,epistemic future,TOTEpistemicFutureEU,asThough,asIf,whether,if_zuko,IFCLAUSESPeriodoIpoteticoThanPrimoSecondoTerzoGrado,ImplicitIfClauses,TOTMorpho-syntacticPACLIsInArticleIfAsIfWhether
Puerperal fever: its aetiology and prevention.,clinical,original,L. Colebrook,http://goo.gl/WFPJw,1933,Mina-Gabriele,6,3998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,15,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,23,6,17,0,1,0,24,3,0,0,1,1,13,0,7,0,1,4,0,30,3,3,0,0,2,0,5,0,7
Puerperal sepsis  an investigation regarding contagion  and throat carriers of the streptococcus haemolyticus.,clinical,original,E. Farquhar Murray,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2313170/pdf/brmedj07490-0008.pdf,1930,Carla-Cinzia,13,2645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,7,0,0,0,0,0,4,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0
Remarks on micro-organism: their relation to disease.,basic,original,J. Lister,goo.gl/JOksM,1880,Mina-Gabriele,7,4259,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,11,0,2,0,16,0,0,0,3,0,4,0,4,0,0,0,0,11,0,0,0,0,0,0,6,0,6
Reports on vaccination and small-pox in 1892-93.,clinical,original,(Based on returns communicated to the British Medical Journal),goo.gl/760Lr,1893,Ilaria-Davide,7,1012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0
Resuscitation and the nurse.,clinical,,leading article,http://goo.gl/1gN0s,1967,Ilaria-Davide,4,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1
Split renal function after captopril in unilateral renal artery stenosis.,clinical,original,G J WENTING  H L TAN-TJIONG  F H M DERKX  J H B DE BRUYN  A J MAN IN 'T VELD  M A D H SCHALEKAMP,http://goo.gl/IZqXp,1984,Andrzej-Adriana,10,3067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,11,0,0,0,12,0,0,0,1,0,4,0,1,0,0,0,0,6,0,0,0,0,1,0,0,0,1
The Bradshaw lecture on modern abdominal surgery.,clinical,original,T. Spencer Wells,goo.gl/pCIt5,1890,Carla-Cinzia,7,4422,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,7,13,0,1,0,21,2,0,0,4,0,2,0,6,0,2,1,0,17,0,0,0,0,0,0,6,0,6
The determinants of abortion and how to combat them.,clinical,original,J. Oliver,goo.gl/uSghE,1907,Mina-Gabriele,9,5000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,18,1,62,1,6,1,71,2,1,0,0,0,10,1,2,0,1,0,0,17,0,0,0,0,2,0,9,0,11
The early recognition and treatment of cancer of the stomach.,clinical,original,E. Spriggs,http://goo.gl/oR0EP,1928,Mina-Gabriele,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,17,9,15,1,0,0,25,2,0,0,1,0,9,0,0,0,1,0,0,13,0,0,0,0,0,0,2,0,2
The etiology and treatment of psoriasis.,clinical,original,J.H. Heaney,http://goo.gl/3WLkN,1927,Ramona-Luciana,6,1267,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,7,1,0,0,8,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0,3,0,3
The limits to health promotion.,clinical,original,N.C.Scott  P.Kinnersley  S. Rollnick,http://goo.gl/lP7sg,1994,Mina-Gabriele,5,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,6,4,0,0,0,10,0,0,0,0,0,4,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"The lingual application of iodine as a prophylactic in cerebro-spinal meningitis and influenza.

",clinical,original,J.A. Taylor,http://goo.gl/m1gDa,1921,Ilaria-Davide,13,858,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,2,0,0,0,0,0,2,0,3,0,0,0,0,5,0,0,0,0,1,0,0,0,1
The permeability of meninges to uranin as a method in the diagnosis of meningitis. ,clinical,review,O.Jervell,http://goo.gl/eWjB4,1925,Andrzej-Adriana,14,1014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,2,0,1,0,7,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,3
The problems of clinical research.,clinical,review,L. J. WITTS,http://goo.gl/Oh670,1948,Andrzej-Adriana,5,4543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,20,11,0,0,0,31,0,0,0,0,0,16,1,5,0,1,0,0,23,4,4,0,1,1,0,7,0,9
The therapeutic administration of oxygen.,clinical,original,J.S. Haldane,goo.gl/BryMW,1917,Andrzej-Adriana,5,3008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,15,0,1,0,26,0,0,0,0,0,2,0,0,0,0,2,0,4,1,1,0,0,0,0,4,0,4
The treatment of painful fissure of the anus  without operation.,clinical,original,A.D. MaCGregor  C.M.Kirkcaldy,goo.gl/qfZbv,1886,Carla-Cinzia,10,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The treatment of pulmonary tubercolosis by nitrogen compression.,clinical,original,G. Lucas,goo.gl/sNOOR,1915,Carla-Cinzia,8,3076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,4,0,0,0,1,0,5,0,0,0,0,0,0,6,0,0,0,2,1,0,2,0,5
The treatment of ringworm of the scalp by the x rays.,clinical,original,T.M.H. MacLeod,goo.gl/yomAg,1905,Ilaria-Davide,11,2675,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7,3,8,1,0,0,12,0,0,0,2,0,1,1,2,0,0,0,0,6,0,0,0,0,0,0,2,0,2
The treatment of wound infections.,clinical,original,W. Parry Morgan,goo.gl/dQfIZ,1916,Mina-Gabriele,5,4572,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,13,0,0,0,25,1,1,1,2,0,2,0,23,0,4,1,0,35,0,0,0,0,2,0,9,0,11
The value of B.C.G. vaccination in control of tuberculosis.,clinical,original,G.S. Wilson,http://goo.gl/eIEGw,1947,Ilaria-Davide,9,5166,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,10,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,18,2,8,0,31,1,0,0,7,2,17,1,18,0,2,0,0,48,0,0,0,0,13,0,13,0,26
Three cases of ovarian disease.,clinical,original,T.G. Stockwell,goo.gl/jxXhR,1850,Mina-Gabriele,5,1297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Treatment and primary suture of face wounds.,clinical,original,D.D. Edward,http://goo.gl/5TR2P,1940,Carla-Cinzia,7,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,0,1,6,0,0,0,0,0,7,0,2,0,0,0,0,9,0,0,0,0,0,0,1,0,1
Treatment of cerebro-spinal meningitis by anti-meningococcus serum combined with autogenous vaccine.,clinical,original,R. Collins,goo.gl/flLER,1915,Carla-Cinzia,13,730,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Use of grafts in treatment of atherosclerosis of lower limbs.,clinical,original,R.E.Horton,http://goo.gl/iWRVi,1956,Mina-Gabriele,10,1548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,0,0,6,0,0,0,0,0,4,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0
Vesico-vaginal and rectovaginal fistula.,clinical,review,T. SPENCER WELLS ,goo.gl/zuJIm,1861,Andrzej-Adriana,4,2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,8,2,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,1,0,1,0,2
Von Willebrand's disease.,basic,original,,http://goo.gl/SbVZd,1976,Andrzej-Adriana,3,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
